geo_id2,geo_name,eatribe,eaid,state,year,pcinc,FC,HC,ea_v5,ea_v30,ea_v32,ea_v66,pcinc_co,unempl_co,logpop,logdist,dist,logruggedness,casino,logresarea_sqkm,BIA_reg,removal,popadultshare,instrument_gold,intrument_silver,wgold_enviro,wsilver_enviro,count_1_all,count_5_governance,count_5_notgovernance,count_7_governance,count_7_notgovernance,share_5_governance,share_5_notgovernance,share_7_governance,share_7_notgovernance
3010,"Pyramid Lake Reservation, NV",KUYUIDOKA,569,NV,2000,10878,0,0,0,2,2,1,19510.6666666667,3.7166666667,7.088408947,4.1590409279,64.0101028471,-0.2188252956,0,7.5397947651,Western,11.8066453934,65.4423980713,0,0,144801.8125,613712.375,2,0,0,0,0,0,0,0,0
3030,"Quileute Reservation, WA",QUILEUTE.,480,WA,2000,9104,1,0,0,7,3,4,20864,3.75,5.7104268074,4.5315656662,92.9039037752,-1.6089884043,0,1.4034929497,Northwest,10.4790410995,64.9006576538,0,0,0,0,3,0,0,0,0,0,0,0,0
3085,"Red Cliff Reservation and Off-Reservation Trust Land, WI",CHIPPEWA.,499,WI,2000,8587,0,0,2,2,3,1,16407,5.3,6.8112444878,4.582036972,97.7132307456,-1.4102164507,1,4.0817548228,Midwest,11.9889240265,63.1057281494,0,0.0077178711,0,0,11,0,0,0,0,0,0,0,0
3100,"Red Lake Reservation, MN",CHIPPEWA.,499,MN,2000,7876,1,0,2,2,3,1,16744.5555555556,4.4555555556,8.4976024628,4.3471469879,77.2577309594,-3.7169229984,1,8.0895001482,Midwest,12.7778987885,57.1894760132,0,0.0077178711,0,0,118,6,3,8,3,0.0508474559,0.0254237279,0.0677966103,0.0254237279
3130,"Reno-Sparks Colony, NV",WASHO . .,340,NV,2000,11465,1,0,0,2,2,1,22685.25,3.8,6.7056388855,2.8755230904,17.7346985455,-1.0060641766,0,2.1474407632,Western,15.0773286819,71.3586273193,2.6699485779,8.1402196884,0,0,0,0,0,0,0,0,0,0,0
3165,"Rincon Reservation, CA",LUISENO .,548,CA,2000,14246,0,0,0,2,2,1,20807.5,4,6.0306854248,2.9960002899,20.0053610457,-0.3129723072,1,2.7617437732,Pacific,10.9241933823,70.6730804443,0,0,330985.625,25831.24609375,18,0,0,3,1,0,0,0.1666666716,0.055555556
3205,"Rocky Boy's Reservation and Off-Reservation Trust Land, MT",CHIPPEWA.,499,MT,2000,6951,1,0,2,2,3,1,13962.3333333333,5.6,7.8375544548,4.9420394897,140.055600437,-0.7906611562,1,6.0967539199,Rocky Mountain,14.1628065109,57.6558837891,0,0.0077178711,0,52066.4609375,27,0,0,3,1,0,0,0.1111111119,0.0370370373
3235,"Rosebud Reservation and Off-Reservation Trust Land, SD",SANTEE. .,627,SD,2000,5613,1,0,1,2,2,1,13804,3.3142857143,9.0695829391,4.8062157631,122.268049679,-2.1816263199,1,8.5398190738,Great Plains,12.279381752,57.9371452332,3.8525002003,0.084091045,0,0,307,6,2,23,21,0.0195439737,0.0065146578,0.0749185681,0.0684039071
3280,"Sac and Fox/Meskwaki Reservation and Off-Reservation Trust Land, IA",FOX . . .,383,IA,2000,7795,1,1,4,2,3,1,18631,2.7,6.4281053543,3.1500611305,23.3374911704,-2.0012083054,1,2.8245942895,Midwest,12.9539966583,62.3586425781,0,0,0,0,0,0,0,0,0,0,0,0,0
3305,"St. Croix Reservation and Off-Reservation Trust Land, WI",CHIPPEWA.,499,WI,2000,10824,0,0,2,2,3,1,17892.6666666667,3.5833333333,6.2747621536,4.4337258339,84.2447147134,-2.9642584324,1,2.2378541019,Midwest,12.0352401733,61.958568573,0,0.0077178711,0,0,7,0,0,0,0,0,0,0,0
3320,"St. Regis Mohawk Reservation, NY",IROQUOIS.,663,NY,2000,12016,1,1,4,7,3,1,15808,5.25,7.8559322357,2.999512434,20.0757462854,-3.6071779728,1,3.9937917054,Eastern,12.2783164978,69.3142166138,0,0,0,0,62,0,0,6,6,0,0,0.0967741907,0.0967741907
3340,"Salt River Reservation, AZ",PAPAGO. .,184,AZ,2000,7680,1,0,5,3,3,1,19138,3.45,8.1259269714,2.2856738567,9.8323095602,-1.788168788,1,5.3916692453,Western,11.7630138397,62.7624969482,0,2.5911126137,12933.5947265625,87083.4765625,626,2,5,27,21,0.0031948881,0.0079872208,0.0431309901,0.0335463248
3355,"San Carlos Reservation, AZ",W.APACHE.,441,AZ,2000,4970,1,0,3,3,3,1,13749.8,5.76,9.0789775848,4.774825573,118.4896450209,-0.5558829308,1,8.9333640046,Western,11.6220932007,60.9647636414,1.015124321,1.8769829273,0,25191.7265625,42,1,0,6,0,0.0238095243,0,0.1428571492,0
3370,"Sandia Pueblo, NM",ISLETA. .,434,NM,2000,10225,0,0,8,7,2,1,19982,3.85,6.2265367508,2.3696496487,10.6936450949,-0.6413775682,1,4.6194041852,Southwest,10.803563118,68.1818161011,0,0,0,0,59,0,0,7,12,0,0,0.1186440662,0.2033898234
3400,"San Felipe Pueblo, NM",ACOMA . .,440,NM,2000,7615,0,0,2,2,3,1,21186,3.6,7.8168201447,3.4007167816,29.9855854627,-1.2385377884,1,5.3340569116,Southwest,10.5526704788,67.1635818481,0,0,0,0,45,0,1,5,8,0,0.0222222228,0.1111111119,0.1777777821
3415,"San Ildefonso Pueblo, NM",TEWA. . .,435,NM,2000,9390,0,0,9,7,2,1,22919.25,3.3,6.2989492416,3.3596577644,28.77933988,-1.5019619465,0,4.7352018475,Southwest,10.6081132889,64.7058868408,0,0,0,0,82,2,1,3,9,0.024390243,0.0121951215,0.0365853645,0.1097560972
3430,"San Juan Pueblo, NM",TEWA. . .,435,NM,2000,11275,0,0,9,7,2,1,22919.25,3.3,7.1899223328,3.7550208569,42.7351111214,-3.5174078941,1,4.2368860403,Southwest,10.6444616318,69.1553497314,0,0,0,0,126,0,1,6,21,0,0.0079365084,0.0476190485,0.1666666716
3460,"San Pasqual Reservation, CA",DIEGUENO.,339,CA,2000,7497,0,0,0,2,3,1,22926,3.6,5.8051347733,2.6622269154,14.3281611995,-0.8284787536,0,1.7604671999,Pacific,13.8101930618,66.5662612915,0,0,150192.203125,23443.0234375,4,0,0,0,0,0,0,0,0
3480,"Santa Ana Pueblo, NM",ACOMA . .,441,NM,2000,9962,0,0,3,3,3,1,19982,3.85,6.2285108566,3.1424500942,23.1605429119,-1.2261081934,1,5.5672271927,Southwest,10.4689617157,66.6666717529,0,0,0,0,63,0,2,5,8,0,0.0317460336,0.0793650821,0.1269841343
3495,"Santa Clara Pueblo, NM",TEWA. . .,435,NM,2000,9544,0,0,9,7,2,1,22919.25,3.3,7.1800699234,3.700261116,40.4578671785,-0.1958158016,0,5.2967958238,Southwest,10.7175474167,72.0487442017,0,0,0,0,192,3,1,19,19,0.015625,0.0052083335,0.0989583358,0.0989583358
3520,"Santa Rosa Rancheria, CA",YOKUTS. .,174,CA,2000,14130,0,0,0,2,3,2,15671.5,6.8,6.1224927902,2.0351848602,7.6536668533,-5.473470211,1,0.482729354,Pacific,12.927444458,56.7982444763,0,0,503387.375,0,17,0,0,0,2,0,0,0,0.1176470593
3550,"Santa Ysabel Reservation, CA",DIEGUENO.,339,CA,2000,14704,0,0,0,2,3,1,22926,3.6,5.4205350876,3.6103270054,36.9781428899,-0.050404232,0,4.1059936084,Pacific,13.7930498123,72.1238937378,0,0,150192.203125,23443.0234375,3,0,0,0,1,0,0,0,0.3333333433
3565,"Santee Reservation, NE",SANTEE. .,627,NE,2000,7488,1,0,1,2,2,1,15151.2,1.6,6.2557501793,3.6623957157,38.9545552116,-1.7912427187,1,6.1693548118,Great Plains,12.9819316864,58.1573905945,0,0,0,0,23,1,0,1,3,0.0434782617,0,0.0434782617,0.1304347813
3585,"Santo Domingo Pueblo, NM",ACOMA . .,442,NM,2000,5620,0,0,8,7,3,1,21384,3.5,8.0410909653,3.7360405922,41.9316366022,-1.4918167591,0,5.6207254493,Southwest,10.7149791718,65.4217681885,0,0,0,0,78,0,0,4,11,0,0,0.051282052,0.1410256475
3635,"Sault Ste. Marie Reservation and Off-Reservation Trust Land, MI",CHIPPEWA.,499,MI,2000,7229,1,0,2,2,3,1,17967.2222222222,5.5666666667,6.9147310257,3.0504102707,21.1240092068,-2.4164674282,1,1.4776215531,Midwest,13.2479438782,53.8232383728,0,0.0077178711,0,0,0,0,0,0,0,0,0,0,0
3795,"Siletz Reservation and Off-Reservation Trust Land, OR",TILLAMOOK,482,OR,2000,9804,1,0,0,7,3,4,19947.3333333333,4,5.0562458038,3.7319617271,41.7609514526,-0.8427689075,1,2.7128382984,Northwest,11.0048294067,61.7834396362,3.1694216728,0,0,0,5,0,0,1,0,0,0,0.200000003,0
3825,"Skokomish Reservation, WA",TWANA . .,71,WA,2000,8500,1,0,0,3,3,2,18056,4.5,6.2499752045,3.6461410522,38.3264804271,1.0640012026,0,3.08304731,Northwest,10.0847005844,65.830116272,0,0,0,0,18,1,0,0,0,0.055555556,0,0,0
