geo_id2,geo_name,eatribe,eaid,state,year,pcinc,LOGPCINC,LNPCINC,FC,HC,ea_v5,ea_v30,ea_v32,ea_v66,pcinc_co,unempl_co,logpop,logpopsq,logdist,DIST,logruggedness,casino,logresarea_sqkm,BIA_reg,removal,popadultshare,instrument_gold,intrument_silver,wgold_enviro,wsilver_enviro,count_1_all,count_5_governance,count_5_notgovernance,count_7_governance,count_7_notgovernance,share_5_governance,share_5_notgovernance,share_7_governance,share_7_notgovernance
1135,"Forest County Potawatomi Community and Off-Reservation Trust Land, WI",POTAWATOM,660,WI,2000,22315,4.348596891,10.01301438,0,1,3,3,3,1,20416.4,3.39,6.077642441,36.93773764,4.491951942,31042.16067,-2.214687347,1,3.926986805,Midwest,12.89484882,58.48624039,0,0,0,0,44,0,0,2,0,0,0,0.045454547,0
1140,"Fort Apache Reservation, AZ",W.APACHE.,441,AZ,2000,5724,3.757699625,8.652423141,1,0,3,3,3,1,13667,5.9,9.358501434,87.58154909,4.739147663,54846.34146,-0.647411942,1,8.826552426,Western,11.26333809,60.2052269,0,0,1809.797607,8123.725586,53,0,0,6,1,0,0,0.113207549,0.018867925
1170,"Fort Bidwell Reservation, CA",KIDUTOKAD,566,CA,2000,8066,3.906658218,8.995412975,1,0,0,2,2,1,19232.66667,5,4.700480461,22.09451656,4.921430588,83450.81602,0.503257513,0,2.575787172,Pacific,11.85483742,70,3.773758411,5.088439941,0,0,8,0,0,0,2,0,0,0,0.25
1185,"Fort Hall Reservation and Off-Reservation Trust Land, ID",BANNOCK .,605,ID,2000,8978,3.953179601,9.102532419,1,1,0,2,2,1,15475.66667,3.4,8.191185951,67.09552728,2.50775075,321.9220685,-0.809312403,1,7.703598861,Northwest,12.14683342,64.67165375,1.582970858,2.816390276,0,0,339,1,0,16,4,0.002949852,0,0.04719764,0.01179941
1210,"Fort McDermitt Reservation, NV--OR",KIDUTOKAD,566,NV--OR,2000,6255,3.796227314,8.741136423,1,0,0,2,2,1,16717,5.65,5.749392986,33.05551971,5.289097309,194579.6013,-0.933028519,0,4.950723315,Western,12.65785027,68.47133636,2.648919106,3.915896654,352596.1875,249067.6094,1,0,0,0,0,0,0,0,0
1220,"Fort McDowell Reservation, AZ",YAVAPAI .,608,AZ,2000,17635,4.246375464,9.777640843,1,0,0,2,2,1,19138,3.45,6.61740303,43.79002286,1.770994663,59.01938276,-2.004242897,1,4.613638864,Western,11.79385567,59.62566757,2.012966633,3.158686638,12933.59473,87083.47656,16,0,0,2,3,0,0,0.125,0.1875
1235,"Fort Mojave Reservation and Off-Reservation Trust Land, AZ--CA--NV",MOHAVE. .,445,AZ--CA--NV,2000,9507,3.978043494,9.159783648,1,1,4,5,3,1,18476.33333,4.266666667,6.26720047,39.27780173,3.155387402,1430.169136,-2.0234828,1,4.924089312,Western,10.68455505,59.01328278,0,0,361329.0313,84381.625,4,0,0,2,0,0,0,0.5,0
1250,"Fort Peck Reservation and Off-Reservation Trust Land, MT",SANTEE. .,627,MT,2000,6970,3.843232778,8.849370504,1,0,1,2,2,1,15572.83333,2.45,8.743691444,76.45214007,4.982481003,96046.38042,-2.122820616,1,9.053969197,Rocky Mountain,13.47752571,60.85153961,1.362270832,0.029735178,0,10897.35645,102,0,0,5,8,0,0,0.049019609,0.078431375
1280,"Fort Yuma Reservation, CA--AZ",YUMA. . .,446,CA--AZ,2000,8858,3.947335676,9.089076284,1,0,5,7,2,1,14020.5,5.95,7.173191547,51.45467697,1.927825809,84.68876672,-2.109514475,1,5.204257503,Western,10.75236797,61.5030632,2.809427023,1.932943702,454230.5313,83837.02344,6,0,0,2,1,0,0,0.333333343,0.166666672
1310,"Gila River Reservation, AZ",PAPAGO. .,184,AZ,2000,5746,3.759365622,8.65625924,1,0,5,3,3,1,19138,3.45,9.241548538,85.40621938,2.929868937,850.8812165,-1.293719888,1,7.322810163,Western,11.71391487,61.08364868,0,3.02473402,12933.59473,87083.47656,26,1,0,0,2,0.03846154,0,0,0.07692308
1355,"Grand Portage Reservation and Off-Reservation Trust Land, MN",CHIPPEWA.,499,MN,2000,14863,4.172106478,9.606630182,0,0,2,2,3,1,21775,4.1,5.710426807,32.60897432,5.397212505,249581.566,-1.066496968,1,5.277467754,Midwest,12.41974735,72.18543243,0,0.007717871,0,0,10,1,0,1,1,0.100000001,0,0.100000001,0.100000001
1395,"Grindstone Rancheria, CA",NOMLAKI .,72,CA,2000,5358,3.729002709,8.58634605,0,0,0,7,2,2,14931,5.4,5.017279625,25.17309484,4.063340187,11570.18191,-1.3596735,0,-1.124588569,Pacific,11.30922222,58.27814484,0,0.325512439,0,0,0,0,0,0,0,0,0,0,0
1410,"Hannahville Community and Off-Reservation Trust Land, MI",POTAWATOM,660,MI,2000,9788,3.990693961,9.188912425,1,1,3,3,3,1,17788,3.9,5.746203423,33.01885378,3.241824865,1745.11827,-2.850929022,1,3.100553782,Midwest,12.77260494,62.61980438,0,0,0,0,0,0,0,0,0,0,0,0,0
1440,"Havasupai Reservation, AZ",WALAPAI .,607,AZ,2000,7038,3.847449262,8.859079318,1,0,0,2,3,1,16963.5,4.25,6.01615715,36.19414685,4.914308548,82093.45767,-0.208696663,0,6.571443235,Western,11.21771622,57.80487823,0,0,2848.580566,63932.80469,9,0,0,2,2,0,0,0.222222224,0.222222224
1450,"Ho-Chunk Reservation and Off-Reservation Trust Land, WI--MN",WINNEBAGO,78,WI--MN,2000,9969,3.998651596,9.207235557,1,1,3,3,3,1,18445.26087,3.208695652,6.559615135,43.02855072,3.885717869,7686.309515,-2.562683582,1,2.924669704,Midwest,12.20218945,60.90651703,0,0,0,0,0,0,0,0,0,0,0,0,0
1475,"Hollywood Reservation, FL",CREEK . .,180,FL,2000,12737,4.105067149,9.452266423,1,1,4,7,3,1,20833.5,4.15,6.242223263,38.96535127,1.12603426,13.3670096,-4.60517025,0,0.743463489,Eastern,13.76484585,59.33852386,0.059027106,0.000768176,0,0,113,,,,,,,,
1490,"Hoopa Valley Reservation, CA",HUPA. . .,518,CA,2000,9757,3.989316305,9.185740255,0,0,0,7,3,2,16553.5,5.575,7.687080383,59.09120481,3.761962652,5780.463353,0.307579517,1,5.9052658,Pacific,10.02093506,62.93578339,5.853612423,0.493419349,612215,19111.73828,13,0,0,2,3,0,0,0.15384616,0.230769232
1505,"Hopi Reservation and Off-Reservation Trust Land, AZ",HOPI. . .,442,AZ,2000,7803,3.892261607,8.962263554,1,0,8,7,3,1,12578,7.033333333,8.774930954,76.99941325,4.809431076,64480.89785,-1.480205178,0,8.789058042,Western,10.86278057,65.82688904,0,0,0,0,250,2,1,47,35,0.008,0.004,0.187999994,0.140000001
1545,"Hualapai Reservation and Off-Reservation Trust Land, AZ",WALAPAI .,607,AZ,2000,7793,3.891704676,8.960981174,1,0,0,2,3,1,18859.75,3.85,7.123672962,50.74671647,4.568811417,37051.97963,-0.196936637,0,8.332251696,Western,11.35023689,63.17486191,0,5.088288307,7579.622559,85057.54688,16,1,0,3,0,0.0625,0,0.1875,0
